date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:43	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-5823d20cda906%22	http://webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont.eot?v=4.7.0	webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont3e6e.eot	(from http://webdesign-finder.com/demo/demos/politcom_html/css/font-awesome.css)
21:38:47	77160/77160	---M--	200	added ('OK')	text/html	etag:%2212d68-5823d20d588a6%22	http://webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont.woff2?v=4.7.0	webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont3e6e.html	(from http://webdesign-finder.com/demo/demos/politcom_html/css/font-awesome.css)
21:38:49	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-5823d20cda906%22	http://webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont.eot?	webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfontd41d.eot	(from http://webdesign-finder.com/demo/demos/politcom_html/css/font-awesome.css)
21:38:51	536089/536089	---MCZ	200	added ('OK')	application/javascript	etag:%2282e19-5823d2136176e-gzip%22	http://webdesign-finder.com/demo/demos/politcom_html/js/compressed.js	webdesign-finder.com/demo/demos/politcom_html/js/compressed.js	(from http://webdesign-finder.com/demo/demos/politcom_html/)
21:39:03	447050/447050	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226d24a-5823d20d35626%22	http://webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont.svg?v=4.7.0	webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont3e6e.svg	(from http://webdesign-finder.com/demo/demos/politcom_html/css/font-awesome.css)
21:39:06	164/164	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2005:01:14%20GMT	http://webdesign-finder.com/demo/demos/politcom_html/fonts/flaticon/Flaticon.eot	webdesign-finder.com/demo/demos/politcom_html/fonts/flaticon/Flaticon.eot	(from http://webdesign-finder.com/demo/demos/politcom_html/css/main.css)
21:39:09	164/164	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2005:01:14%20GMT	http://webdesign-finder.com/demo/demos/politcom_html/fonts/flaticon/Flaticon.eot?	webdesign-finder.com/demo/demos/politcom_html/fonts/flaticon/Flaticond41d.eot	(from http://webdesign-finder.com/demo/demos/politcom_html/css/main.css)
21:39:11	164/164	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2005:01:14%20GMT	http://webdesign-finder.com/demo/demos/politcom_html/fonts/flaticon/Flaticon.woff	webdesign-finder.com/demo/demos/politcom_html/fonts/flaticon/Flaticon.woff	(from http://webdesign-finder.com/demo/demos/politcom_html/css/main.css)
21:39:15	164/164	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Sep%202017%2005:01:14%20GMT	http://webdesign-finder.com/demo/demos/politcom_html/fonts/flaticon/Flaticon.ttf	webdesign-finder.com/demo/demos/politcom_html/fonts/flaticon/Flaticon.ttf	(from http://webdesign-finder.com/demo/demos/politcom_html/css/main.css)
21:39:15	98024/98024	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2217ee8-5823d20d1a0a6%22	http://webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont.woff?v=4.7.0	webdesign-finder.com/demo/demos/politcom_html/fonts/fontawesome-webfont3e6e.woff	(from http://webdesign-finder.com/demo/demos/politcom_html/css/font-awesome.css)
